,id,epoch,val_acc,val_loss,test_acc,test_loss,epsilon
0,run-0,0,0.770316912456856,0.5723682831634175,0.7621587700031377,0.5903165719725869,0.05
1,run-0,1,0.7856918732350172,0.5042303692210804,0.7866331973642925,0.5184549580920826,0.05
2,run-0,2,0.8051459052400377,0.47816715186292474,0.8042045811107624,0.4843651002103632,0.05
3,run-0,3,0.8117351741449639,0.49290124665607105,0.8161280200815815,0.4918700131503018,0.05
4,run-0,4,0.8208346407279573,0.5088649798523296,0.8170693442108566,0.5172204185615886,0.05
5,run-0,5,0.836523376215877,0.4923644716089422,0.8283652337621588,0.4974173605442047,0.05
6,run-0,6,0.8377784750549105,0.4805952635678378,0.8346407279573267,0.4795361486348239,0.05
7,run-0,7,0.8446815186695952,0.470521864565936,0.8393473486037025,0.4726655564524911,0.05
8,run-0,8,0.8418575462817697,0.47806006399067963,0.8415437715720113,0.48492262580178,0.05
9,run-0,9,0.8399748980232193,0.4850403503938155,0.838092249764669,0.48415863513946533,0.05
10,run-0,10,0.8415437715720113,0.4692398255521601,0.8459366175086288,0.46692337773062964,0.05
11,run-0,11,0.8424850957012865,0.4616615961898457,0.8456228427988705,0.45583630150014703,0.05
12,run-0,12,0.8424850957012865,0.46133846044540405,0.8446815186695952,0.457856378772042,0.05
13,run-1,0,0.7605898964543458,0.5752145241607319,0.759962347034829,0.6036057851531289,0.05
14,run-1,1,0.8038908064010041,0.5091923421079462,0.7951051145277691,0.5237558240240271,0.05
15,run-1,2,0.8176968936303733,0.5028923885388807,0.8020081581424537,0.5199274772947485,0.05
16,run-1,3,0.815814245371823,0.5214832777326758,0.8117351741449639,0.5361139720136469,0.05
17,run-1,4,0.8324443049890179,0.510036671703512,0.8224035142767493,0.5206498070196672,0.05
18,run-1,5,0.8340131785378099,0.5065189925107089,0.8318167555695011,0.5140349973331798,0.05
19,run-1,6,0.8374647003451522,0.4977170499888333,0.836523376215877,0.5082962160760706,0.05
20,run-1,7,0.838092249764669,0.4913862510160966,0.839661123313461,0.4945929565212943,0.05
